Unit Code	Short Unit Title
CHEM102	PHYSICAL CHEMISTRY
CHEM201	ORGANIC CHEMISTRY & BIOCHEMIST
CHEM203	ENVIRONMENTAL CHEMISTRY
COMM102	INTRODUCTION TO COMMUNICATION
COMM103	WRITTEN COMMUNICATION
COMM213	INTERPERSONAL COMMUNICATION
COMM218	COMMUNICATION IN THE WORKPLACE
COMM219	NEW MEDIA COMMUNICATION
COMM220	WRITING THE NEWS
COMM221	COMMUNICATION ETHICS
COMM313	CONVERGENT MEDIA JOURNALISM
COMP104	COMPUTING SYSTEMS
COMP106	DATA COMMUNICATIONS
COMP202	STRUCTURED PROBLEM SOLVING
COMP203	MULTIMEDIA APPLICATIONS
COMP205	DATABASE SYSTEMS
COMP304	COMPUT CONTROLLED SYSTEMS & AI
COMP306	SOFTWARE DESIGN & DEVELOPMENT
COMP307	ICT PROJECT
COUN106	INTRO TO COUNS & MICRO-SKILLS
COUN108	ETHICAL & PROF ISSUES IN COUNS
COUN208	THEORIES & TECH OF COUNSELLG 1
COUN210	INDIVIDUAL & WELFARE NEEDS
COUN211	WORKING IN HUMAN SERVICES
COUN212	ETHICAL & LEGAL: COUNSELLING
COUN213	MEDIATION & DISPUTE RESOLUTION
COUN214	GRIEF AND LOSS COUNSELLING
COUN216	RELIG & SPIRITUAL ISSUES COUN
COUN218	COUNS'G CHILDREN & ADOLESCENTS
COUN219	FAMILY & RELATIONSHIP COUNS'G
COUN221	HUMANISTIC THEORIES&INTERVENTN
COUN222	COGNITIVE BEHAVIOUR THERAPY
COUN225	ORGANISATIONS&GROUP PROCESSES
COUN305	PASTORAL CARE IN THE RESIDENCE
COUN306	CLINICAL FIELDWORK
COUN307	CLINICAL FIELDWORK 2
COUN500	FOUND THEOR. & APP OF COUNS
COUN501	COUNSELLING IN PRACTICE
COUN502	HUMAN DEV & CONTEMP MODELS
COUN503	INTERACTION GROUPS
COUN504	SPEC IN COUNSELLING 1
COUN505	ADVANCED INTERACTION GROUPS
COUN506	SPEC IN COUNSELLING 2
COUN507	ADV COUNSELLING IN PRACTICE
COUN510	SUPERVISED PRACTICUM
COUN511	SUPERVISED PRACTICUM 2
COUN520	UNDER SUBNCE USE & DEPENDENCE
COUN521	DRUG & ALCH USE AND CO-MORBLTY
COUN522	COUNS IN CONTEXT OF ADDICTION
COUN523	SUPERVISED PRACTICUM
COUN601	COUNS THEORIES AND TECHNIQUES
COUN615	LEADERSHIP AND COMMUNICATION
COUN616	RELATIONSHIP & FAM COUNSELLING
COUN617	TRAUMA COUNSELLING
COUN619	COUNSELLING: SPECIAL STUDY
COUN620	GRIEF & LOSS:ISSUES & APPROACH
COUN622	MEDIATION & CONF RESOLUTION
COUN623	PRACTICUM I
COUN624	FINANCIAL COUN CLINICL FIELDWK
COUN625	THEORIES & TECHNIQUES OF COUNS
COUN626	COUNSELLING PRACTICE SKILLS
COUN627	LIFE SPAN/DEVLP ISSUES IN COUN
COUN628	SOCIAL AND CULTURAL CRITIQUE
COUN629	DRUG AND ALCOHOL COUNSELLING
COUN630	GROUP PROCESSES IN COUNCELLING
COUN631	ETHICS & PROFESSIONAL PRACTICE
COUN632	ASS/COGNITIVE BHVR THERAPY
COUN633	ASS/PSYCHODYNMIC THERAPY
COUN634	WORLDVIEW/SPIRIT ISSUES-COUNS
COUN635	PRACTICUM II
COUN636	EMERGING APPROACHES IN COUNS.
COUN637	RESCH-COUNS AND PSYCHOTHERAPY
COUN650	ATTACHMNT ORG AND ADAPTATION
COUN651	EMOT DEVELOP AND DISTURBANCE
COUN652	THE CHILD & ADOLES IN FAM SYST
COUN653	SUPERVISED PRACTICUM A
COUN654	COUNSELLING CHILDREN
COUN655	COUNSELLING ADOLESCENTS
COUN656	THERAPEUTIC PLAY
COUN657	SUPERVISED PRACTICUM B
COUN658	INTRO TO RESEARCH METHODS
COUN660	RESEARCH PROJECT
DVST100	INTRO TO INTL DEVELOP STUDIES
EBAC129	INTEGRATN OF CULTURES & LEARN
EBAC130	HUM REL: DEV ACROSS LIFESPAN
EBAC131	COMMUNITY EDUCATION: ADULTS
EBAC132	COMMUNITY ED: CHILDREN & YOUTH
EBAC231	CITIZENSHIP AND ETHICS
EBAR300	CREATIVE ARTS: VISUAL ARTS
EBAR351	CREATIVE ARTS: VISUAL ARTS
EBDR111	DANCE AND DRAMA
EBFD102	LEARNING
EBFD103	SOC ANALYSIS & COMM OUTREACH
EBFD104	HUMAN DEVELOPMENT
EBFD122	EDUCATIONAL PSYCHOLOGY
EBFD231	PSYCH: LEARNING & THE CHILD
EBFD242	EDUCATION AND SOCIETY
EBFD300	EDUCATIONAL PHILOSOPHY
EBFD301	DISTRICT RESEARCH PROJECT
EBFD362	EDUCATION PHILOSOPHY
EBFD364	DISTRICT RESEARCH PROJECT
EBFX122	PROFESSIONAL EXPERIENCE 1
EBFX242	PROFESSIONAL EXPERIENCE 2
EBFX300	FIELD EXPERIENCE 3
EBFX362	PROFESSIONAL EXPERIENCE 3
EBLO111	PORTUGUESE LANGUAGE 1
EBLO122	PORTUGUESE LANGUAGE 2
EBLO231	PORTUGUESE LANGUAGE 3
EBLO242	PORTUGUESE LANGUAGE 4
EBLO300	LANGUAGE AND LITERACY 1
EBLO301	LANGUAGE AND LITERACY 2
EBLO351	LANGUAGE AND LITERACY 1
EBLO362	LANGUAGE AND LITERACY 2
EBMA122	MATHEMATICS EDUCATION 1
EBMA242	MATHEMATICS EDUCATION 2
EBMU122	MUSIC EDUCATION
EBPH122	HEALTH AND NUTRITION
EBPH231	HEALTH & PHYSICAL EDUCATION 1
EBPH242	HEALTH & PHYSICAL EDUCATION 2
EBRE300	RELIGIOUS EDUCATION 1
EBRE301	RELIGIOUS EDUCATION 2
EBRE351	RELIGIOUS EDUCATION 1
EBRE362	RELIGIOUS EDUCATION 2
EBSS111	TETUM AND CULTURAL STUDIES
EBSS300	EAST TIMOR HISTORY
EBSS301	STUDY: SOCIETY AND ENVIRONMENT
EBSS362	STUDY: SOCIETY & ENVIRONMENT
EBSS364	EAST TIMOR HISTORY
EBST111	COMPUTING AND STUDY SKILLS
EBST231	SCIENCE EDUCATION 1
EBST300	SCIENCE EDUCATION 2
EBST362	SCIENCE EDUCATION 2
EBTS102	TEACHING AND CLASSROOM MGMT 1
EBTS103	CURRICULUM IMPLEMENTATION
EBTS111	TEACHING AND CLASSROOM MGMT 1
EBTS122	TEACHING AND CLASSROOM MGMT 2
EBTS231	CHILDREN WITH SPECIAL NEEDS
EBTS242	TEACHING AND CLASSROOM MGMT 3
EBTS300	TEACHING AND CLASSROOM MGMT 4
EBTS351	TEACHING AND CLASSROOM MGMT 4
ECON102	MICROECONOMICS 1
ECON103	MACROECONOMICS 1
ECON104	BUSINESS ECONOMICS
ECON105	ECONOMICS FOR BUSINESS
ECON201	INTERNAT BUSINESS ECONOMICS
ECON202	MICROECONOMICS 2
ECON203	MACROECONOMICS 2
ECON204	DEVELOPMENT ECONOMICS
ECON205	ECONOMIC POLICY ANALYSIS
ECON209	THE GLOBAL ECONOMY
ECON210	LABOUR ECONOMICS
ECON304	APPLIED ECONOMETRICS
ECON600	MANAGL ECONOMCS IN GLOBAL ENVI
EDAB107	CONTEMP ISSUES-INDIGENOUS HIST
EDAB111	INDIGENOUS CULTURES & PEOPLES
EDAB161	INDIGENOUS CULTURES & PEOPLES
EDAC116	INTERPERSONAL COMM SKILLS
EDAC133	ATTITUDE & INCLUSIVE EDUCATION
EDAC134	TECHNOLOGY AND INDEPENDENCE
EDAC135	PLANNING & INCLUSIVE LEARNING
EDAC136	ADAPTIVE COMMUNICATION SUPPORT
EDAC137	DISABILITY STUDIES
EDAC138	IMPLMT DISABILITY COMPETENCIES
EDAC139	TECHNOLOGY & COMMUNICATION
EDAC218	SUPPORTING SOCIAL RELATIONSHIP
EDAC220	SOCIAL JUSTICE  LEGAL ISSUES
EDAC223	DELIVERY IN COMMUNITY SETTINGS
EDAC224	UNDERSTANDNG BEHV & DISABILITY
EDAC225	FAMILY STUDIES AND DISABILITY
EDAC226	EMPLOYMT SUPPORT ISSUES & PRAC
EDAC227	IMPLMT PERSON CENTERED SUPPORT
EDAC228	CASEWK & MGMT IN COMM SETTINGS
EDAC309	STRATEGIC MGMT OF RESOURCES
EDAC310	ADVOCACY POWER AND EMPOWERMENT
EDAC311	PROFESSIONAL COMM & GUIDANCE
EDAC312	PHYSICAL & MENTAL HLTH ISSUES
EDAC313	ACTION RES IN COMMUNITY/FBL
EDAC314	POSITIVE BEHAVIOUR APPROACHES
EDAC315	LIFELONG LEARNING AND AGEING
EDAC408	SCHOOL & COMMUNITY
EDAC611	CHILD ABUSE PREVENTION PROGRAM
EDAC620	SOC RES METHODS & COMM CONTEXT
EDAR308	CREATIVE ARTS EDUCATION 1
EDAR368	CREATIVE ARTS EDUCATION 1
EDAR401	CRITICISMS AESTHETICS CONTEXTS
EDAR405	TEACHER AS ART MAKER
EDAR406	AESTHETICS AND VISUAL LITERACY
EDAR416	VISUAL ARTS C&T 1
EDAR417	VISUAL ARTS C&T 2
EDAR422	CREATIVE ARTS EDUCATION 2
EDAR424	VISUAL ARTS EDUCATION
EDAR462	CREATIVE ARTS EDUCATION 2
EDAR504	CREATIVE ARTS CURRICULUM
EDAR516	VISUAL ARTS C&T 1
EDAR517	VISUAL ARTS C&T 2
EDAR518	VISUAL ARTS C&T 3
EDAR519	VISUAL ARTS C&T 4
EDAR602	VIS ARTS CURR: ADV PROF PRAC
EDAR603	TEACHERS & TEACHING IN ARTS ED
EDAR604	LEARNERS & LEARNING IN ARTS ED
EDCU101	EARLY CHLD 1:PEDAGOGY & CURRIC
EDCU202	EARLY CHLD 4:BLD CONNECT&CONT
EDCU301	EARLY CHILDHOOD EDUCATION 2
EDCU413	TEACHING & CURRICULUM 1A
EDCU415	TEACHING & CURRICULUM 2A
EDCU417	CURRICULUM AND ASSESSMENT
EDCU418	CONTEMP ISSUES IN SCHL CURRIC
EDCU419	EXTENSION C&T 3
EDCU420	EXTENSION C&T 4
EDCU463	TEACHING & CURRICULUM 1A
EDCU465	TEACHING & CURRICULUM 2A
EDCU502	CURRICULUM & INSTRUCTION
EDCU508	CONTEMP ISSUES IN SCHL CURRIC
EDCU513	TEACHING & CURRICULUM 1A
EDCU515	TEACHING & CURRICULUM 2A
EDCU517	CURRICULUM AND ASSESSMENT
EDCU518	CONTEMP ISSUES IN SCHL CURRIC
EDCU519	EXTENSION C&T 3
EDCU520	EXTENSION C&T 4
EDCU607	PROJECT
EDCU614	MAJOR THESIS MED (F/T)
EDCU615	MAJOR THESIS MED (P/T)
EDCU619	MUSIC CURRICULUM STUDIES
EDCU620	DANCE C'LUM STUDS:ADV PROF PR
EDCU621	MAJOR THESIS MED (F/T)
EDCU622	MAJOR THESIS MED (P/T)
EDCU701	DOCTOR OF EDUCATION FT-PT3
EDCU703	DOCTOR OF EDUCATION PT-PT3
EDCU704	DOCTOR OF EDUCATION PT-PT2
EDCU705	DOCTOR OF EDUCATION PT- PT 1
EDCU706	DOCTOR OF EDUCATION FT-PT2
EDCU707	DOCTOR OF EDUCATION FT-PT1
